name,id_game,quote,effect,unlock,image,quality,pool,item_quality,extension
Forever Alone,5.100.128,Attack fly,"Spawns an attack fly that orbits a long distance from Isaac, dealing 30 damage per second.",Unlocked,imagenes3,1,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
Gemini,5.100.318,Conjoined friend,"Spawns a conjoined familiar which chases enemies close to Isaac, dealing ~8 damage per second.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,,rebirth
Ghost Baby,5.100.163,Spectral buddy,Spawns a familiar that follows Isaac around and fires spectral tears.,Unlocked,imagenes3,1,Baby ShopDevil RoomTreasure RoomTreasure Room,passive item,rebirth
Gimpy,5.100.225,Sweet suffering,Gives chance of spawning a   Soul Heart when taking damage. Enemies have a chance to drop a   Half Red Heart after being killed.,Unlocked,imagenes3,2,Curse RoomDevil BeggarDevil RoomTreasure RoomCurse RoomDevil Room,passive item,rebirth
Gnawed Leaf,5.100.210,Unbreakable,"After standing still and not shooting for a short time, Isaac turns invincible until he moves or shoots.",Unlocked,imagenes3,1,Treasure RoomTreasure Room,passive item,rebirth
Goat Head,5.100.215,He accepts your offering,"A  Devil Room /  Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4.",Unlocked,imagenes3,3,Red ChestGolden ChestCurse RoomDevil Room,passive item,rebirth
Godhead,5.100.331,God tears,"Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears -0.3 Shot Speed, +0.8 Tear Falling Speed, and +1.2 Range. Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears, and -0.3 Shot Speed.",Earn all  5 /  9 (except Ultra Greed) /  10 /  12 Completion Marks on Hard mode as  The Lost,imagenes3,4,Angel RoomTreasure RoomAngel Room,passive item,rebirth
Growth Hormones,5.100.70,Speed + DMG up,"+1 damage, +0.4 speed. +1 damage, +0.2 speed.",Unlocked,imagenes3,3,BossDevil BeggarBoss,passive item,rebirth
Guardian Angel,5.100.112,Extra protection,"Spawns an orbital familiar that blocks enemy shots, deals 105 damage per second to enemies, and increases the speed of all orbital familiars. Spawns an orbital familiar that blocks enemy shots, deals 53 damage per second to enemies, and increases the speed of all orbital familiars.",Defeat Satan as  Magdalene,imagenes3,2,Baby ShopAngel RoomAngel Room,passive item,rebirth
Guillotine,5.100.206,DMG + tears up. An out-of-body experience!,Isaac's head is removed from his body and floats around him as an orbital.  Gives +1 damage and grants -1 tear delay.  Gives +1 damage and grants +0.5 fire rate.,Defeat Isaac as  Judas,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Guppy's Collar,5.100.212,Eternal life?,Grants a permanent 50% chance to respawn with 1/2 of a   Red Heart after death.,Unlocked,imagenes3,1,Crane GameCurse RoomDevil RoomRed ChestCurse RoomDevil Room,passive item,rebirth
Guppy's Hair Ball,5.100.187,Swing it,"Spawns a familiar that loosely follows behind Isaac, which blocks shots can be swung like a flail to damage enemies. Grows bigger by killing enemies.",Become Guppy,imagenes3,1,Devil RoomDevil Room,passive item,rebirth
Guppy's Tail,5.100.134,Cursed?,Room Clear Awards have a 1/3 chance of being replaced with a   Chest and a 2/9 chance being replaced with nothing.,Unlocked,imagenes3,2,Curse RoomDevil RoomRed ChestCurse RoomDevil Room,passive item,rebirth
Habit,5.100.156,Item martyr,"When Isaac is hit, his active item gains 1 room's worth of charge.",Unlocked,imagenes3,2,Angel RoomShopShop,passive item,rebirth
Halo of Flies,5.100.10,Projectile protection,Spawns two Pretty Flies that block enemy shots and deal contact damage to flies.,Unlocked,imagenes3,2,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
Harlequin Baby,5.100.167,Double shot buddy,Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern.,Unlocked,imagenes3,1,Baby ShopUltra Secret RoomTreasure RoomTreasure Room,passive item,rebirth
Headless Baby,5.100.269,Bloody friend,"Spawns a familiar that follows Isaac, leaving blood creep on the ground.",Unlocked,imagenes3,1,Baby ShopDevil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Hive Mind,5.100.248,Giant spiders and flies,Increases the size of Blue Spiders and Blue Flies and doubles the amount of damage they deal.  Also increases the effectiveness of fly and spider familiars.,Unlocked,imagenes3,2,ShopShop,passive item,rebirth
Holy Grail,5.100.184,Flight + HP up,Grants flight and one Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,3,Angel RoomAngel Room,passive item,rebirth
Holy Mantle,5.100.313,Holy shield,"Grants a shield that negates the first instance of damage taken, once per room. Does not apply to or negate self-damage ( Blood Donation Machines, etc).",Unlocked,imagenes3,4,Angel RoomTreasure RoomAngel Room,passive item,rebirth
Holy Water,5.100.178,Splash!,"Spawns a bottle familiar that breaks when Isaac takes damage, leaving a puddle of blue creep. A bottle familiar that flies forward when Isaac shoots. It breaks upon hitting an enemy, leaving a puddle of blue creep that petrifies enemies.",Unlocked,imagenes3,3,Angel RoomTreasure RoomAngel Room,passive item,rebirth
Hot Bombs,5.100.256,Burning blast +5 bombs,+5   Bombs. Isaac's bombs leave behind fire that damages enemies upon contact.,Unlocked,imagenes3,1,Bomb BumTreasure RoomTreasure Room,passive item,rebirth
Humbling Bundle,5.100.203,1+1 free 4Evar,"Transforms   Bombs,   Keys,   Pennies, and   Red Hearts into their respective Double versions.  This will occur 50% of the time.",Unlocked,imagenes3,3,Shop,passive item,rebirth
Infamy,5.100.242,Blocks damage... sometimes,Gives Isaac a 50% chance to block projectiles coming from any direction.,Unlocked,imagenes3,2,Golden ChestSecret RoomTreasure RoomGolden ChestSecret RoomTreasure Room,passive item,rebirth
Infestation,5.100.148,Fly revenge,1-3 Blue Flies randomly spawn every time Isaac gets hit. 2-6 Blue Flies randomly spawn every time Isaac gets hit.,Unlocked,imagenes3,0,Treasure RoomTreasure Room,passive item,rebirth
Infestation 2,5.100.234,Infestation shot,Spawns allied Blue Spiders from killed enemies.,Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Ipecac,5.100.149,Explosive shots,Replaces tears with explosive and poisoning projectiles fired in an arc from the mouth.,Defeat Mom's Heart 6 times,imagenes3,4,Treasure RoomTreasure Room,,rebirth
Iron Bar,5.100.201,DMG up + concussive tears,"Increases damage by 0.3 and adds a chance to shoot concussive tears, causing enemies to walk around randomly.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Isaac's Heart,5.100.276,Protect it,"Isaac himself is now immune to all damage, and a heart familiar follows him. If the heart is hurt, Isaac is hurt.  The heart charges up as Isaac shoots, firing 8 blood shots, knocking back enemies, and leaving a puddle of creep when released.",Defeat Isaac as  The Lost,imagenes3,0,Ultra Secret RoomTreasure Room,passive item,rebirth
Jesus Juice,5.100.197,Damage + range up,"+0.5 damage, +0.25 range, +0.5 tear falling speed. +0.5 damage, +1.5 range.",Unlocked,imagenes3,2,Angel RoomBossAngel RoomBoss,passive item,rebirth
Judas' Shadow,5.100.311,Sweet revenge,"Upon death, respawns Isaac as   Dark Judas with two   Black Hearts in the previous room.",Complete the Boss Rush as  Judas,imagenes3,3,Treasure RoomDevil RoomTreasure RoomDevil Room,passive item,rebirth
Juicy Sack,5.100.266,Sticky babies,"Spawns a familiar that follows Isaac and drips a trail of slow creep, spawning 1-2 Blue Spiders after each room.",Unlocked,imagenes3,2,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Key Piece 1,5.100.238,???,"Combined with  Key Piece 2, unlocks the golden gate in the starting room of  Chest and  Dark Room to fight   Mega Satan.",Complete Chapter 6,imagenes3,0,,passive item,rebirth
Key Piece 2,5.100.239,???,"Combined with  Key Piece 1, unlocks the golden gate in the starting room of  Chest and  Dark Room to fight   Mega Satan.",Complete Chapter 6,imagenes3,0,,passive item,rebirth
Latch Key,5.100.343,Luck up,Grants 1   Soul Heart and +1 luck. Spawns 2   Keys.,Unlocked,imagenes3,1,Golden ChestKey MasterBossBoss,passive item,rebirth
Lazarus' Rags,5.100.332,Eternal life?,"Upon dying, resurrect as   Lazarus Risen in the current room with one Red Heart container and  Anemic. Upon dying, resurrect as   Lazarus Risen in the current room with one less Red Heart container (but no less than 1),  Anemic, and a permanent +0.5 Damage up. Going to the next floor reverts him back into   Lazarus, with his inherent extra life effect.",Defeat Isaac as  Lazarus,imagenes3,1,Angel RoomTreasure RoomTreasure Room,passive item,rebirth
Leech,5.100.270,Blood sucker,"Spawns a leech familiar that chases enemies, dealing ~3 damage per second. Heals a   Half Red Heart whenever Leech kills an enemy.",Unlocked,imagenes3,2,Baby ShopTreasure RoomDevil Room,,rebirth
Leo,5.100.302,Stompy,Isaac can destroy rocks by walking into them.,Unlocked,imagenes3,1,Treasure RoomTreasure Room,passive item,rebirth
Libra,5.100.304,You feel balanced,"Gives 6   Coins, 6   Bombs, and 6   Keys and balances out all attributes.",Unlocked,imagenes3,1,Treasure Room,passive item,rebirth
Lil Brimstone,5.100.275,Evil friend,Grants a familiar that charges a thin  Brimstone laser while Isaac is shooting.,Unlocked,imagenes3,2,Baby ShopDevil RoomTreasure Room,passive item,rebirth
Lil Haunt,5.100.277,Fear him,"Spawns a familiar that chases down enemies, dealing 4 damage per second and inflicting fear.",Unlocked,imagenes3,1,Baby ShopTreasure RoomTreasure Room,,rebirth
Little Baggy,5.100.252,Extra pill room,Isaac can hold 2 pills at once and all cards and runes are replaced by pills.,"Pick up any 2 of the following items in a single run: Roid Rage, The Virus, Growth Hormones, Experimental Treatment, and Speed Ball ( Any 2 items that have the 'syringe' item tag)",imagenes3,0,Golden ChestShopShop,passive item,rebirth
Little C.H.A.D.,5.100.96,Gives kisses,Spawns a familiar who drops a   Half Red Heart every 3 rooms.,Defeat C.H.A.D.,imagenes3,2,Baby ShopUltra Secret RoomTreasure RoomTreasure Room,passive item,rebirth
Little Chubby,5.100.88,Attack buddy,Spawns a   Charger familiar that charges forward and deals contact damage to any enemies in its path.,Beat Chapter 2,imagenes3,2,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Little Gish,5.100.99,Sticky friend,"Spawns a familiar that follows Isaac around and fires slowing tears, impeding enemies' speed.",Defeat Gish,imagenes3,2,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Little Steven,5.100.100,Psychic friend,Spawns a familiar who follows Isaac around and fires homing tears.,Defeat Steven,imagenes3,2,BossBaby ShopTreasure RoomTreasure Room,,rebirth
Loki's Horns,5.100.87,Cross tears,Gives a random chance for projectiles to fire in all 4 cardinal directions.,Defeat  Lokii,imagenes3,1,Devil BeggarTreasure RoomTreasure Room,passive item,rebirth
Lord of the Pit,5.100.82,Demon wings,Grants flight and +0.3 speed.,Unlocked,imagenes3,3,Devil BeggarUltra Secret RoomDevil RoomDevil Room,passive item,rebirth
Lost Contact,5.100.213,Shielded tears,Isaac's tears can hit and destroy enemy projectiles. -0.15 shot speed.,Unlocked,imagenes3,2,Secret RoomTreasure RoomSecret RoomTreasure Room,passive item,rebirth
Lucky Foot,5.100.46,Luck up,"+1 luck. Improves Isaac's chances at various random events (independent from the luck stat).  Converts all bad pills into good pills, without identifying them.",Unlocked,imagenes3,2,Crane GameBeggarTreasure RoomShop,passive item,rebirth
Lunch,5.100.22,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,BeggarBossBoss,,rebirth
Maggy's Bow,5.100.312,HP up + you feel healthy,Gives one Red Heart Container and doubles the healing provided by   Red Hearts.  Also heals 1 Red Heart when obtained.,Complete the Boss Rush as  Magdalene,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Magic 8 Ball,5.100.194,Shot speed up,"+0.16 shot speed, spawns a random tarot card.  Increases the chance of finding a  Planetarium.",Unlocked,imagenes3,1,Crane GameGolden ChestBossBoss,passive item,rebirth
Magic Mushroom,5.100.12,All stats up!,"Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +5.25 Range, and +0.3 Speed, and restores all Health. Makes Isaac bigger. Adds one Red Heart Container, +0.3 Damage, x1.5 damage multiplier, +2.5 Range, and +0.3 Speed, and restores all Health.",Unlocked,imagenes3,4,BossUltra Secret RoomTreasure RoomBossTreasure Room,passive item,rebirth
Magic Scab,5.100.253,HP + luck up,"Grants one full Red Heart container, +1 luck.  Heals 1 additional   Red Heart.",Unlocked,imagenes3,2,Ultra Secret RoomBossBoss,passive item,rebirth
Magneto,5.100.53,Item snatcher,Pulls pickups towards Isaac.,Unlocked,imagenes3,1,Ultra Secret RoomTreasure Room,,rebirth
Match Book,5.100.344,Evil up,"Grants Isaac one   Black Heart, spawns two or three   Bombs.",Unlocked,imagenes3,1,Golden ChestBossBoss,,rebirth
MEAT!,5.100.193,DMG + HP up,"Grants one full Red Heart container, +0.3 damage.  Heals 1 additional   Red Heart",Unlocked,imagenes3,2,Ultra Secret RoomBossBoss,passive item,rebirth
Midas' Touch,5.100.202,Golden touch,Enemies that touch Isaac are temporarily petrified and turn to gold. Any enemy killed while in this state will drop   Pennies.,Unlocked,imagenes3,2,Treasure Room,passive item,rebirth
Mini Mush,5.100.71,Speed + range up,"Decreases Isaac's size, making him less likely to be hit. +0.3 speed, +1.5 tear falling speed, -4.25 range (effective range is increased).  +0.3 speed, +2.5 range.",Unlocked,imagenes3,2,Treasure RoomBoss,passive item,rebirth
Missing No.,5.100.258,Syntax error,Randomizes all passive items and stats upon pickup and at the start of each succeeding floor.,Complete the Boss Rush as  Lazarus,imagenes3,0,Secret RoomSecret RoomTreasure Room,passive item,rebirth
Missing Page 2,5.100.262,Evil up. Your enemies will pay!,"Grants one   Black Heart. Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room.  Increases the damage of   Black Hearts and  The Necronomicon-like effects by 40.",Unlocked,imagenes3,0,Devil BeggarDevil RoomSecret RoomLibrarySecret Room,passive item,rebirth
Mitre,5.100.173,Blessing of purity,Grants a chance of converting any   Red Heart pickups into   Soul Hearts instead.,Unlocked,imagenes3,3,Angel RoomTreasure RoomAngel Room,passive item,rebirth
Mom's Coin Purse,5.100.195,What's all this...?,Spawns 4 random pills near Isaac.,Unlocked,imagenes3,1,Mom's ChestOld ChestBeggarBossDevil BeggarShopBoss,passive item,rebirth
Mom's Contacts,5.100.110,Freeze effect,"Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking.  +0.25 range.  +1.5 range.",Obtain three Yes Mother? items in one run,imagenes3,3,Mom's ChestOld ChestUltra Secret RoomTreasure RoomTreasure Room,passive item,rebirth
Mom's Eye,5.100.55,Eye in the back of your head,Gives Isaac a chance to fire tears from the back of his head.,Unlocked,imagenes3,1,Mom's ChestOld ChestTreasure RoomTreasure Room,passive item,rebirth
Mom's Eyeshadow,5.100.200,Charm tears,Tears have a chance to charm enemies.,Unlocked,imagenes3,1,Mom's ChestOld ChestTreasure RoomTreasure Room,passive item,rebirth
Mom's Heels,5.100.30,Range up,"+5.25 range, +0.5 tear falling speed. +2.5 range, enemies that touch Isaac take 12 damage.",Unlocked,imagenes3,1,Mom's ChestOld ChestUltra Secret RoomBossBoss,passive item,rebirth
Mom's Key,5.100.199,Better chest loot +2 keys,Adds 2 keys.   Chests will drop additional pickups.,Unlocked,imagenes3,3,Mom's ChestOld ChestKey MasterShopBossShop,passive item,rebirth
Mom's Knife,5.100.114,Stab stab stab,"Isaac's tears are replaced by a knife that pierces enemies, can travel through obstacles, and can hurt enemies while Isaac is holding it. Holding down the fire button before firing increases its range and power.",Defeat Satan as  Isaac,imagenes3,4,Mom's ChestOld ChestDevil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Mom's Lipstick,5.100.31,Range up,"+5.25 range, +0.5 tear falling speed. +3.75 range. Spawns a   Heart on pickup.",Unlocked,imagenes3,1,Mom's ChestOld ChestUltra Secret RoomBossBoss,passive item,rebirth
Mom's Perfume,5.100.228,Fear shot + tears up,Adds a chance to shoot fear tears.  Decreases tear delay by 1.  +0.5 fire rate.,Unlocked,imagenes3,2,Mom's ChestOld ChestTreasure RoomTreasure Room,passive item,rebirth
Mom's Purse,5.100.139,More trinket room,Allows Isaac to hold one additional trinket.  Drops a random trinket.,Unlocked,imagenes3,2,Mom's ChestOld ChestShopShop,passive item,rebirth
Mom's Underwear,5.100.29,Range up,"+5.25 range, +0.5 tear falling speed. +2.5 range. Spawns 3-6 Blue Flies on pickup.",Unlocked,imagenes3,1,Golden ChestMom's ChestOld ChestBossBoss,passive item,rebirth
Mom's Wig,5.100.217,You feel itchy...,Adds a chance to spawn Blue Spiders when firing tears. Restores 1   Red Heart.,Unlocked,imagenes3,2,Mom's ChestOld ChestTreasure RoomTreasure Room,passive item,rebirth
Money = Power,5.100.109,$$$ = DMG,"Increases damage by 0.04 for every   coin Isaac has, up to +3.96 damage at 99 coins.",Unlocked,imagenes3,3,Devil RoomUltra Secret RoomTreasure RoomDevil Room,passive item,rebirth
Mongo Baby,5.100.322,Mongo friend,Spawns a familiar that copies the tears of Isaac's other familiars.,Unlocked,imagenes3,2,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Monstro's Lung,5.100.229,Charged burst attack,Replaces normal tears with a charged shot that fires 14 tears in the same fashion as   Monstro.,Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Mr. Mega,5.100.106,Bigger boom,"+5   Bombs. Increases the size, blast radius, and damage of Isaac's bombs.",Destroy 10 Tinted Rocks,imagenes3,2,Secret RoomBomb BumTreasure RoomTreasure Room,passive item,rebirth
Mutant Spider,5.100.153,Quad shot,Grants quadruple shot but decreases Tears.,Unlocked,imagenes3,3,Crane GameTreasure RoomTreasure Room,passive itemTreasure RoomTreasure Room,rebirth
My Reflection,5.100.5,Boomerang tears + DMG up + luck down,"Gives Isaac's tears a boomerang effect.  +1.5 range, +1 tear falling speed, x1.6 shot speed multiplier.  2x + 1.5 range, +1.5 damage, -1 luck, 1.6x shot speed multiplier.",Unlocked,imagenes3,2,Crane GameTreasure RoomTreasure Room,passive item,rebirth
Mysterious Liquid,5.100.317,Toxic splash damage,"Tears leave a small, short lasting pool of creep on impact or when their range is depleted.",Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Mystery Sack,5.100.271,?,"Spawns a familiar that drops a Heart, coin,   Bomb, or   Key every 5-6 rooms.",Defeat The Lamb as  Eden,imagenes3,2,Golden ChestBeggarSecret RoomTreasure RoomSecret RoomTreasure Room,passive item,rebirth
Number One,5.100.6,Tears up + range down,"Grants +1.5 tears, but severely reduces range.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Odd Mushroom (Large),5.100.121,"HP + DMG up, speed down","Grants one empty Heart container, +0.3 damage, +0.25 range, +0.5 tear falling speed, and -0.1 speed.  Grants one full Heart container, +1 damage, +1.5 range, and -0.2 speed",Unlocked,imagenes3,2,Secret RoomTreasure RoomBossSecret RoomTreasure Room,,rebirth
Odd Mushroom (Thin),5.100.120,"Tears + speed up, DMG down","+1.7 tears, +0.3 speed, slightly reduces damage.",Unlocked,imagenes3,2,Secret RoomTreasure RoomSecret RoomBossTreasure Room,,rebirth
Old Bandage,5.100.219,HP up,Grants an empty Red Heart container. Adds a chance of dropping a   Red Heart after taking damage.,Unlocked,imagenes3,2,Boss,passive item,rebirth
Ouija Board,5.100.115,Spectral tears + tears up,Grants spectral tears that travel through obstacles (but not enemies).  +0.5 tears.,Unlocked,imagenes3,2,Devil RoomTreasure RoomDevil RoomDevil RoomTreasure Room,passive item,rebirth
Pageant Boy,5.100.141,Ultimate grand supreme,Spawns seven random coins around Isaac.,Unlocked,imagenes3,0,Boss,passive item,rebirth
Pentagram,5.100.51,DMG up,"+1 damage, increases  Devil Room /  Angel Room chance by 10%.",Unlocked,imagenes3,3,Crane GameDevil BeggarUltra Secret RoomBossCurse RoomDevil RoomCurse RoomDevil Room,passive item,rebirth
PHD,5.100.75,Better pills,"Converts all bad pills into good pills, spawns one pill pickup, and identifies all pills. Restores two   Red Hearts and increases the payout of  Blood Donation Machines.",Unlocked,imagenes3,2,ShopTreasure RoomShop,passive item,rebirth
Piggy Bank,5.100.227,My life savings,"Gives 3   Pennies on pick-up. Every time Isaac is damaged, he will drop one or two additional pennies.",Unlocked,imagenes3,1,Crane GameShopTreasure Room,passive item,rebirth
Pisces,5.100.309,Tears up + knock-back shots,"-1 Tear Delay, adds knock-back shots and increases tear size. +0.5 Fire Rate, adds knock-back shots and increases tear size.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Placenta,5.100.218,Regeneration + HP up,"Grants one full Red Heart container, and a chance to regenerate a   Half Red Heart of health every minute of gameplay.",Unlocked,imagenes3,2,Boss,passive item,rebirth
Polyphemus,5.100.169,Mega tears,"Isaac fires huge tears that deal massive damage, but fire rate is greatly decreased. If a tear kills an enemy, it travels on with any leftover damage.",Unlocked,imagenes3,4,Treasure RoomTreasure Room,passive item,rebirth
Proptosis,5.100.261,Short range mega tears,"Tears start out massive with high damage, and then shrink down and become weaker over a short range.",Unlocked,imagenes3,3,Ultra Secret RoomTreasure RoomTreasure Room,item,rebirth
Punching Bag,5.100.281,Scape goat,Spawns a   Mulligan familiar that wanders randomly. Enemies will attack the Mulligan if it's closer.,Unlocked,imagenes3,1,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Pyro,5.100.190,99 bombs,Grants 99   Bombs.,Unlocked,imagenes3,3,Bomb BumSecret RoomTreasure RoomTreasure RoomSecret RoomTreasure Room,,rebirth
Pyromaniac,5.100.223,It hurts so good +5 bombs,+5 bombs. Grants immunity to explosion damage and causes explosions to heal Isaac.  Also grants immunity to fire.,Unlocked,imagenes3,4,Treasure RoomTreasure Room,,rebirth
Rainbow Baby,5.100.174,Random buddy,Spawns a familiar that follows Isaac around and fires tears with random effects.,Unlocked,imagenes3,1,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Raw Liver,5.100.16,HP up,Grants 2 Red Heart containers and completely restores health.,Unlocked,imagenes3,2,Secret RoomSecret RoomBoss,passive item,rebirth
Robo-Baby,5.100.95,Friends 'till the bbbbzzzt,Spawns a familiar that shoots  Technology lasers.,Unlocked,imagenes3,1,Baby ShopCrane GameTreasure RoomTreasure Room,passive item,rebirth
Robo-Baby 2.0,5.100.267,We worked out all the kinks,Spawns a familiar that fires lasers at any enemy in its line of sight and moves based on the direction Isaac is firing tears.,Complete Computer Savvy (challenge #16),imagenes3,1,Baby ShopCrane GameTreasure RoomTreasure Room,passive item,rebirth
Roid Rage,5.100.14,Speed and range up,"+0.6 speed, +5.25 range, +0.5 tear falling speed. +0.3 speed, +2.5 range",Unlocked,imagenes3,2,BossDevil BeggarTreasure RoomBoss,passive item,rebirth
Rosary,5.100.72,Tears + faith up,Grants 3   Soul Hearts. Causes  The Bible to appear in any item pool.  +0.5 tears.,Unlocked,imagenes3,2,Ultra Secret RoomAngel RoomTreasure RoomAngel Room,passive item,rebirth
Rotten Baby,5.100.268,Infested friend,Spawns a familiar that spawns a Blue Fly when Isaac shoots. It can only have one Fly at a time.,Unlocked,imagenes3,3,Baby ShopRotten BeggarDevil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Rotten Meat,5.100.26,HP up,Grants one full Red Heart container.  Heals 1 additional   Red Heart.,Unlocked,imagenes3,1,Rotten BeggarBeggarBossBoss,passive item,rebirth
Rubber Cement,5.100.221,Bouncing tears,"Tears bounce off walls, enemies, and environmental objects.",Defeat Mom's Heart 2 times,imagenes3,3,Treasure RoomTreasure Room,,rebirth
Sack of Pennies,5.100.94,Gives money,Spawns a familiar that drops a   coin every 2 rooms.,Defeat Isaac as  Cain,imagenes3,1,Golden ChestSecret RoomTreasure RoomTreasure Room,passive item,rebirth
Sacred Heart,5.100.182,Homing shots + DMG up,"Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, -0.25 Shot Speed, and +4.125 Range. Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, and -0.25 Shot Speed.",Unlocked,imagenes3,4,Ultra Secret RoomAngel RoomAngel Room,,rebirth
Sacrificial Dagger,5.100.172,My fate protects me,"Spawns a dagger orbital familiar, blocking enemy shots and dealing a high amount of damage to enemies in contact.",Defeat ??? as  Eve,imagenes3,2,Baby ShopDevil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Sad Bombs,5.100.220,Tear blasts +5 bombs,"+5   Bombs. Upon exploding, bombs shoot 10 tears around them, affected by tear modifiers.",Unlocked,imagenes3,2,Bomb BumTreasure RoomTreasure Room,passive item,rebirth
Safety Pin,5.100.339,Evil + range + shot speed up,"Grants one   Black Heart, +5.25 range, +0.5 tear falling speed, +0.16 shot speed. Grants one   Black Heart, +2.5 range, +0.16 shot speed.",Unlocked,imagenes3,1,BossBoss,,rebirth
Sagittarius,5.100.306,Piercing shots + speed up,Increases speed by +0.2 and grants piercing tears.,Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Samson's Chains,5.100.321,The ol' ball and chain,"Attaches a ball and chain to Isaac that pulls behind him that damages enemies, blocks shots, and destroys most Obstacles.",Complete the Boss Rush as  Samson,imagenes3,1,Secret RoomTreasure RoomSecret RoomTreasure Room,passive item,rebirth
Scapular,5.100.142,Pray for a miracle,"Once per room, when Isaac is reduced to his last half heart, he is granted one   Soul Heart.",Unlocked,imagenes3,2,Angel RoomTreasure RoomTreasure Room,passive item,rebirth
Scorpio,5.100.305,Poison tears,"Grants poison tears, which deal damage over time when inflicted.",Unlocked,imagenes3,3,Treasure RoomTreasure Room,passive item,rebirth
Screw,5.100.255,Tears + shot speed up,"+0.5 tears, +0.2 shot speed.",Unlocked,imagenes3,3,Crane GameGolden ChestBossBoss,passive item,rebirth
Sharp Plug,5.100.205,Infinite charge... at a cost,Damages Isaac in exchange for fully recharging Isaac's current activated item.,Unlocked,imagenes3,2,Battery BumShop,passive item,rebirth
Sissy Longlegs,5.100.280,She loves you,"Spawns a familiar that wanders randomly, occasionally spawning Blue Spiders.",Unlocked,imagenes3,1,Baby ShopTreasure RoomTreasure Room,passive item,rebirth
Sister Maggy,5.100.67,Friends 'till the end,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage. Spawns a familiar that follows Isaac around shooting tears that deal 6 damage.,Unlocked,imagenes3,1,Baby ShopUltra Secret RoomDevil RoomTreasure RoomDevil RoomTreasure Room,passive item,rebirth
Skatole,5.100.9,Fly love,Flies become harmless or less dangerous depending on the type.,Unlocked,imagenes3,0,Shell Game,passive item,rebirth
Skeleton Key,5.100.17,99 keys,Gives Isaac 99   Keys.,Unlocked,imagenes3,3,Treasure RoomSecret RoomSecret RoomTreasure Room,passive item,rebirth
Smart Fly,5.100.264,Revenge fly,"Spawns an orbital familiar that blocks enemy shots. Upon taking damage, the familiar will pursue enemies for the rest of the room, dealing 22.5 damage per second.",Unlocked,imagenes3,2,Baby ShopKey MasterTreasure RoomTreasure Room,passive item,rebirth
SMB Super Fan,5.100.189,All stats up,"+1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +0.5 range, +1 tear falling speed. Fully restores all red hearts. +1 Red Heart container, +0.3 damage, +0.2 tears, +0.2 speed, +2.5 range. Fully restores all red hearts.",Complete It's in the Cards (challenge #14),imagenes3,3,Crane GameTreasure RoomTreasure Room,passive item,rebirth
Soy Milk,5.100.330,DMG down + tears way up,"Tears are smaller and do much less damage, but fire in very rapid succession.",Unlocked,imagenes3,2,Treasure RoomTreasure Room,passive item,rebirth
Speed Ball,5.100.143,Speed + shot speed up,"+0.3 speed, +0.2 shot speed.",Unlocked,imagenes3,2,BossDevil BeggarTreasure RoomBoss,passive item,rebirth
